HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US47071,47071,22280,8646,12797,1587,3614,1883,1571,9403,2432,1113,1094,3037,15.5,65.55,13.63,95.36,4.43,0.88,0.03,0.09,0.01,0.09,56.39,28.93,20.42,8.88,7.82
050US47073,47073,43751,16857,26200,2953,7565,3716,3269,19947,4566,2177,1884,4659,15.97,69.63,10.65,97.78,1.89,0.48,0.14,0.1,0.01,0.08,52.95,29.47,18.31,7.83,9.31
050US47075,47075,20318,7043,10580,1822,3613,2068,1638,8262,1811,875,957,2978,18.24,67.41,14.66,48.61,51.28,1.32,0.01,0.02,0.01,0.06,57.03,33.27,32.89,13.49,7.53
050US47077,47077,21390,8255,12327,1705,3282,1878,1619,9137,2225,1121,1017,2903,16.35,66.03,13.57,90.93,8.89,0.8,0.05,0.03,0,0.1,58.14,28.8,17.64,10.08,6.89
050US47079,47079,28656,12145,16266,1971,4054,2303,2117,11334,2996,1705,1647,4949,15.42,60.58,17.27,88.72,10.99,0.6,0.11,0.13,0,0.05,52.73,25.97,15.05,9.28,10.14
050US47081,47081,15151,5586,9088,948,2441,1386,1429,6841,1502,828,752,1839,18.58,67.52,12.14,94.46,5.39,0.44,0.11,0,0,0.05,58.93,27.88,13.39,6.72,8.81
050US47083,47083,6871,2788,3869,471,1137,610,478,2825,708,371,342,1017,15.83,64.52,14.8,94.95,4.82,0.6,0.07,0.03,0.01,0.12,53.82,28.89,17.71,9.72,13.56
050US47085,47085,15957,6260,9159,1180,2729,1373,1177,6823,1713,821,702,1989,15.98,67.26,12.46,95.78,3.94,0.38,0.07,0.19,0.01,0.01,48.04,30.14,13.01,7.02,10
050US47087,47087,9398,3697,5385,624,1477,759,689,3854,958,554,510,1421,15.41,63.36,15.12,99.67,0.22,0.45,0.01,0.09,0,0.01,67.5,27.58,24.87,10.16,9.03
050US47089,47089,31284,11740,19215,1888,4835,3277,2946,14689,3283,1563,1449,3577,19.89,68.44,11.43,96.72,2.95,0.52,0.15,0.07,0,0.11,51.71,27.14,17.08,8.71,9.51
