"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"19123",2018,22208,95.14,1.56,0.26,1.39,0.07,1.58,2.14,8.82,12.74,56.03,17.76,13.6
"19125",2018,33207,95.51,0.59,0.2,0.94,0,2.76,1.89,6.62,15.21,56.73,17.27,14.1
"19127",2018,40271,85.04,0.95,0.31,3.61,0.03,10.06,21.31,16.35,12.62,56.68,17.33,11.9
"19129",2018,14957,96.57,0.87,0.9,0.27,0,1.39,3,6.56,11.66,53.03,17.32,15.3
"19131",2018,10631,97.7,0.08,0.65,0.5,0,1.06,1.37,10.1,12.12,51.21,21.54,12.6
"19133",2018,8796,96.77,0.27,2.06,0,0,0.9,1.93,7.63,10.57,48.42,24.34,14.6
"19135",2018,7863,96.04,0.06,0,0.13,0,3.76,2.56,11.96,10.9,53.38,19.11,12.6
"19137",2018,10155,95.07,0,0.49,0,0,4.44,3.78,9.92,11.7,50.96,20.66,15.9
"19139",2018,42950,91.42,2.35,0.18,0.93,0.03,5.1,17.79,12.41,12.78,57.96,15.83,10.3
"19141",2018,13911,94.05,1.06,0.33,0.91,0.03,3.62,4.68,7.68,11.5,52.4,20.56,13.7
"19143",2018,6115,94.59,1.26,0.21,0.18,0.08,3.68,7.83,10.95,10.5,50.89,20.54,12.3
"19145",2018,15363,93.91,1.72,0.75,0.96,0.05,2.62,3.33,9.11,11.63,51.17,21.28,16.5
"19147",2018,9055,96.13,2.31,0.18,0.52,0,0.86,2.66,6.54,11.91,53.05,21.39,14.5
"19149",2018,25039,94.77,0.71,0.45,0.54,0.06,3.47,4.97,7.04,12.62,54.59,17.98,11
"19151",2018,6898,96.11,0.64,0.36,1.52,0.04,1.32,3.67,8.58,10.28,46.68,22.59,14.7
"19153",2018,474274,84.34,6.55,0.29,4.53,0.09,4.2,8.24,8.5,12.74,63.02,12.43,10.9
"19155",2018,93503,92.94,1.46,0.33,0.67,0.01,4.58,7.62,10.55,12.78,56.45,16.54,14.2
"19157",2018,18605,93.81,1.85,0,2.13,0.05,2.16,3.21,7,19.06,54.68,19.68,9.9
