"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"3567","Community Health Resources","Putnam Center","391 Pomfret Street",NA,"Putnam","CT","06260",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.9178022, 41.9081189),-71.9178022,41.9081189
"3568","Clara Martin Center","Quitting Time","39 Fogg Farm Road",NA,"Wilder","VT","05088",NA,"buprenorphine","50027","Windsor","SAMHSA",c(-72.320503, 43.686069),-72.320503,43.686069
"3569","Journey to Hope Health and","Healing Inc","86 Beach Street",NA,"Westerly","RI","02891",NA,"buprenorphine","44009","Washington","SAMHSA",c(-71.8284575, 41.3608327),-71.8284575,41.3608327
"3570","Behavioral Health Center",NA,"13 Water Street",NA,"Danielson","CT","06239",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.8854124, 41.8050421),-71.8854124,41.8050421
"3571","Kings View","Substance Abuse Program Tulare County","559 East Bardsley Avenue",NA,"Tulare","CA","93274",NA,"buprenorphine","06107","Tulare","SAMHSA",c(-119.3405746, 36.1963309),-119.3405746,36.1963309
"3572","Aegis Treatment Centers LLC",NA,"1019 Jefferson Street",NA,"Delano","CA","93215",NA,"buprenorphine","06029","Kern","SAMHSA",c(-119.2446772, 35.7699561),-119.2446772,35.7699561
"3573","Community Health Resources","Danielson Clinic","71 Westcott Road",NA,"Danielson","CT","06239",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.8755694, 41.8089517),-71.8755694,41.8089517
"3574","United Services Inc",NA,"1007 North Main Street",NA,"Dayville","CT","06241",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.879275, 41.8348218),-71.879275,41.8348218
"3575","Natchaug Hospital Inc","Joshua Center Northeast","934 North Main Street",NA,"Danielson","CT","06239",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.877098, 41.8287911),-71.877098,41.8287911
"3576","Quinebaug Day Treatment Center",NA,"11 Dog Hill Road",NA,"Dayville","CT","06241",NA,"buprenorphine","09015","Windham","SAMHSA",c(-71.87579, 41.832562),-71.87579,41.832562
"3577","Better Life Partners/Hanover",NA,"44 South Main Street","Suite 2","Hanover","NH","03755",NA,"buprenorphine","33009","Grafton","SAMHSA",c(-72.2891892, 43.7011206),-72.2891892,43.7011206
"3578","Addiction Treatment Program","Dartmouth Hitchcock Hospital","85 Mechanic Street","Suite 3B-1","Lebanon","NH","03766",NA,"buprenorphine","33009","Grafton","SAMHSA",c(-72.2588488, 43.6383118),-72.2588488,43.6383118
"3579","6390 Meadows Court LLC","Passages 8","6390 Meadows Court",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.767215, 34.0284056),-118.767215,34.0284056
"3580","Grasshopper House LLC","Passages Vista House","6380 Meadows Court",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7680575, 34.0301665),-118.7680575,34.0301665
"3581","Grasshopper House LLC","Passages C","6439 Sycamore Meadows Drive",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7673744, 34.0269483),-118.7673744,34.0269483
"3582","Federal Recovery Systems LLC","Passages East","6439 B Sycamore Meadows Drive",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7673744, 34.0269483),-118.7673744,34.0269483
"3583","Grasshopper House LLC","Passages","6447 Sycamore Meadows Drive",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7673744, 34.0263497),-118.7673744,34.0263497
"3584","Federal Recovery Systems LLC","Passages Northeast","6428 B Meadows Court",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7677842, 34.0270036),-118.7677842,34.0270036
"3585","Groups Recover Together",NA,"31 Hanover Street",NA,"Lebanon","NH","03766",NA,"buprenorphine","33009","Grafton","SAMHSA",c(-72.2539193, 43.6423853),-72.2539193,43.6423853
"3586","Rise Luxury Rehab LLC",NA,"27551 Pacific Coast Highway",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7738255, 34.026583),-118.7738255,34.026583
"3587","CubHouse","Spokane Treatment and Recovery Servs","14819 East Mission Avenue",NA,"Spokane","WA","99216",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.2051231, 47.6690157),-117.2051231,47.6690157
"3588","Phoenix House of New England","Dublin Center/Adult Residential","3 Pierce Road",NA,"Dublin","NH","03444",NA,"buprenorphine","33005","Cheshire","SAMHSA",c(-72.0412563461694, 42.8926283461017),-72.0412563461694,42.8926283461017
"3589","New Dawn Treatment Center",NA,"10585 Double R Boulevard","Suite 200","Reno","NV","89521",NA,"buprenorphine","32031","Washoe","SAMHSA",c(-119.7541447, 39.4284641),-119.7541447,39.4284641
"3590","Rylist Inc","La Ventana Treatment Programs","385 North Conejo School Road",NA,"Thousand Oaks","CA","91362",NA,"buprenorphine","06111","Ventura","SAMHSA",c(-118.8416787, 34.1792884),-118.8416787,34.1792884
"3591","Carson City Community Counseling Ctr",NA,"205 South Pratt Street",NA,"Carson City","NV","89701",NA,"buprenorphine","32510","Carson City","SAMHSA",c(-119.759949510735, 39.164560832947),-119.759949510735,39.164560832947
"3592","Milestones Ranch Malibu",NA,"200 Vera Canyon Road",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.8185165, 34.0928137),-118.8185165,34.0928137
"3593","Harrington Hospital OP Services","Satellite Location","340 Thompson Road",NA,"Webster","MA","01570",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8504158, 42.0272389),-71.8504158,42.0272389
"3594","Life Change Center",NA,"1201 North Stewart Street","Suite 120","Carson City","NV","89701",NA,"buprenorphine","32510","Carson City","SAMHSA",c(-119.7638212, 39.1715723),-119.7638212,39.1715723
"3595","Seasons Recovery Centers LLC","Serenity Malibu","6021 Galahad Road",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.7996591, 34.0267832),-118.7996591,34.0267832
"3596","Life Change Center",NA,"1755 Sullivan Lane",NA,"Sparks","NV","89431",NA,"buprenorphine","32031","Washoe","SAMHSA",c(-119.7717599, 39.5486743),-119.7717599,39.5486743
"3597","American Behavioral Health Systems","Mission","12715 East Mission Avenue",NA,"Spokane","WA","99216",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.233194, 47.6722562),-117.233194,47.6722562
"3598","Breakthrough Recovery Group Inc",NA,"11711 East Sprague Avenue","Suite D-4","Spokane","WA","99206",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.2470448, 47.6575937),-117.2470448,47.6575937
"3599","Alo House Recovery",NA,"28901 Selfridge Drive",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.8015714, 34.0196322),-118.8015714,34.0196322
"3600","AAA Treatment Solutions LLC","Enlight Treatment Center","11811 Darlene Lane",NA,"Moorpark","CA","93021",NA,"buprenorphine","06111","Ventura","SAMHSA",c(-118.899083, 34.292085),-118.899083,34.292085
"3601","A Wildwood Recovery",NA,"360 Camino de Celeste",NA,"Thousand Oaks","CA","91360",NA,"buprenorphine","06111","Ventura","SAMHSA",c(-118.8873666, 34.2307686),-118.8873666,34.2307686
"3602","Center for Behavioral Health","Reno","160 Hubbard Way","Suite A","Reno","NV","89502",NA,"buprenorphine","32031","Washoe","SAMHSA",c(-119.7973815, 39.498636),-119.7973815,39.498636
"3603","Department of Veterans Affairs","VA Sierra Nevada Healthcare System","975 Kirman Avenue",NA,"Reno","NV","89502",NA,"buprenorphine","32031","Washoe","SAMHSA",c(-119.7989994, 39.5159824),-119.7989994,39.5159824
"3604","Malibu Hills Treatment Center",NA,"415 Westlake Boulevard",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.8567219, 34.1086891),-118.8567219,34.1086891
"3605","Thrive Treatment Center",NA,"300 North Argonne Road","Suite 201","Spokane","WA","99212",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.2819427, 47.6595948),-117.2819427,47.6595948
"3606","Quest Counseling and Consulting",NA,"3500 Lakeside Court","Suite 101","Reno","NV","89509",NA,"buprenorphine","32031","Washoe","SAMHSA",c(-119.806301, 39.492943),-119.806301,39.492943
"3607","New England Medicine and Counseling",NA,"120 NH Route 10 South","Sawyer Brook Place Suite 3","Grantham","NH","03753",NA,"buprenorphine","33019","Sullivan","SAMHSA",c(-72.1355997, 43.4963982),-72.1355997,43.4963982
"3608","McLean Fernside",NA,"162 Mountain Road",NA,"Princeton","MA","01541",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8841618, 42.4680506),-71.8841618,42.4680506
"3609","Washburn House","Detox","1183 Main Street",NA,"Worcester","MA","01603",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8386029, 42.2435325),-71.8386029,42.2435325
"3610","Washburn House","Residential Treatment Center","1183 Main Street",NA,"Worcester","MA","01603",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8386029, 42.2435325),-71.8386029,42.2435325
"3611","Behavioral Health Solutions of Malibu","Broad Beach Retreat","31217 Bailard Road",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.8513284, 34.0384869),-118.8513284,34.0384869
"3612","CleanSlate Centers","Worcester","411 Chandler Street",NA,"Worcester","MA","01602",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8327659, 42.2639437),-71.8327659,42.2639437
"3613","Recovery Centers of America","Westminster ATS","9 Village Inn Road",NA,"Westminster","MA","01473",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8790129, 42.5430321),-71.8790129,42.5430321
"3614","Recovery Centers of America","Westminster CSS","9 Village Inn Road",NA,"Westminster","MA","01473",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8790129, 42.5430321),-71.8790129,42.5430321
"3615","Recovery Centers of America","Westminster Outpatient","9 Village Inn Road",NA,"Westminster","MA","01473",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8790129, 42.5430321),-71.8790129,42.5430321
"3616","Spectrum OP Services","Satellite","475 Pleasant Street","Suite C","Worcester","MA","01609",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8181022, 42.2636424),-71.8181022,42.2636424
"3617","Spectrum Health Systems Inc","Outpatient Services","105 Merrick Street",NA,"Worcester","MA","01609",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8131621788368, 42.2659892256043),-71.8131621788368,42.2659892256043
"3618","Hector Reyes House",NA,"27 Vernon Street",NA,"Worcester","MA","01610",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.796087, 42.252987),-71.796087,42.252987
"3619","Mermaids Cove Malibu Inc","Malibu Seaside Serenity Cove","4774 Encinal Canyon Road",NA,"Malibu","CA","90265",NA,"buprenorphine","06037","Los Angeles","SAMHSA",c(-118.89206, 34.0428634),-118.89206,34.0428634
"3620","SaVida Health",NA,"121 Lincoln Street",NA,"Worcester","MA","01605",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.7946195, 42.2772061),-71.7946195,42.2772061
"3621","Providence Center","Roads to Recovery Womens Program","15 Bakers Pines Road",NA,"Wyoming","RI","02898",NA,"buprenorphine","44009","Washington","SAMHSA",c(-71.677059, 41.536141),-71.677059,41.536141
"3622","VA Med/Jonathan M Wainwright Mem","SARRTP/PRRTP and Outpt Trt","77 Wainwright Drive",NA,"Walla Walla","WA","99362",NA,"buprenorphine","53071","Walla Walla","SAMHSA",c(-118.3560682, 46.0538497),-118.3560682,46.0538497
"3623","Sobriety Centers of NH","Antrim House","55 Main Street",NA,"Antrim","NH","03440",NA,"buprenorphine","33011","Hillsborough","SAMHSA",c(-71.937309, 43.0290021),-71.937309,43.0290021
"3624","Spring Hill Recovery Center",NA,"250 Spring Hill Road",NA,"Ashby","MA","01431",NA,"buprenorphine","25017","Middlesex","SAMHSA",c(-71.850264, 42.668395),-71.850264,42.668395
"3625","CleanSlate Centers",NA,"275 Nichols Road","2nd Floor","Fitchburg","MA","01420",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.8056882, 42.5976464),-71.8056882,42.5976464
"3626","Spokane Regional Health District","Treatment Services","West 1101 College Avenue","Room 106","Spokane","WA","99201",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.428367, 47.6631),-117.428367,47.6631
"3627","Right Choice Health Group",NA,"76 Summer Street","Suite 45","Fitchburg","MA","01420",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.7866236, 42.5793546),-71.7866236,42.5793546
"3628","Ideal Option PLLC","Spokane/Colton","6208 North Colton Street",NA,"Spokane","WA","99208",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.4066995, 47.7144715),-117.4066995,47.7144715
"3629","Ideal Option PLLC",NA,"208 East Francis Avenue",NA,"Spokane","WA","99208",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.4068252, 47.7148908),-117.4068252,47.7148908
"3630","Riverside Recovery Center","Spokane","3710 North Monroe Street",NA,"Spokane","WA","99205",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.4255982, 47.6920005),-117.4255982,47.6920005
"3631","Fitchburg Comprehensive Trt Center",NA,"155 Airport Road",NA,"Fitchburg","MA","01420",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.7739713, 42.5646515),-71.7739713,42.5646515
"3632","American Behavioral Health Systems","Cozza","44 East Cozza Drive",NA,"Spokane","WA","99208",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.4094988, 47.7245103),-117.4094988,47.7245103
"3633","Community Healthlink Inc","Satellite","40 Spruce Street","2nd Floor","Leominster","MA","01453",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.7546023, 42.5264675),-71.7546023,42.5264675
"3634","Clara Martin Center",NA,"1483 Lower Plain Road","Route 5","Bradford","VT","05033",NA,"buprenorphine","50017","Orange","SAMHSA",c(-72.116135, 43.972553),-72.116135,43.972553
"3635","Valley Vista",NA,"23 Upper Plain",NA,"Bradford","VT","05033",NA,"buprenorphine","50017","Orange","SAMHSA",c(-72.120769, 44.000336),-72.120769,44.000336
"3636","Mann Grandstaff VA Medical Center","Substance Abuse Treatment Program","4815 North Assembly Street",NA,"Spokane","WA","99205",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.4776913, 47.7029335),-117.4776913,47.7029335
"3637","Satnam S Atwal MD","Herndon Recovery Center","7361 North Sierra Vista Avenue",NA,"Fresno","CA","93720",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7430111, 36.8431184),-119.7430111,36.8431184
"3638","Phoenix Houses of New England","Womens Residential Program","251 Main Street",NA,"Exeter","RI","02822",NA,"buprenorphine","44009","Washington","SAMHSA",c(-71.5416547, 41.5575982),-71.5416547,41.5575982
"3639","Addiction Research and Treatment Inc","(ART)","3103 East Cartwright Avenue",NA,"Fresno","CA","93725",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7345731, 36.6758747),-119.7345731,36.6758747
"3640","New England Recovery Ctr (NERC)","Detox Services","153 Oak Street",NA,"Westborough","MA","01581",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.6272243, 42.2862224),-71.6272243,42.2862224
"3641","Spectrum Health Systems Inc","Charles J Faris Recovery Center","155A Oak Street",NA,"Westborough","MA","01581",NA,"buprenorphine","25027","Worcester","SAMHSA",c(-71.6267758, 42.2864785),-71.6267758,42.2864785
"3642","Aegis Treatment Centers LLC",NA,"3707 East Shields Avenue",NA,"Fresno","CA","93726",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7631914, 36.7798457),-119.7631914,36.7798457
"3643","Camas Path BHS","Kalispel Tribe of Indians","934 South Garfield Road",NA,"Airway Heights","WA","99001",NA,"buprenorphine","53063","Spokane","SAMHSA",c(-117.5779252, 47.6469353),-117.5779252,47.6469353
"3644","CODAC Behavioral Healthcare II","South County","350 Columbia Street",NA,"Wakefield","RI","02879",NA,"buprenorphine","44009","Washington","SAMHSA",c(-71.495977, 41.450225),-71.495977,41.450225
"3645","Kaiser Permanente","Addiction Medicine and Recovery Servs","4785 North 1st Street","2nd Floor","Fresno","CA","93726",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7730856, 36.8047594),-119.7730856,36.8047594
"3646","VA Central California Healthcare Sys","Substance Use Disorder Program","2615 East Clinton Avenue",NA,"Fresno","CA","93703",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7797421, 36.7733235),-119.7797421,36.7733235
"3647","MedMark Treatment Centers","Fresno","1310 M Street",NA,"Fresno","CA","93721",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7903321, 36.7393875),-119.7903321,36.7393875
"3648","BAART Behavioral Health Services Inc","Detox Program","539 North Van Ness Avenue",NA,"Fresno","CA","93728",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7991988, 36.7511775),-119.7991988,36.7511775
"3649","Addiction Research and Treatment Inc","(ART)/BBHS","1235 E Street",NA,"Fresno","CA","93706",NA,"buprenorphine","06019","Fresno","SAMHSA",c(-119.7993721, 36.7324355),-119.7993721,36.7324355
"3650","Grande Ronde Recovery",NA,"200 SE Halley Avenue","Suite 204","Pendleton","OR","97801",NA,"buprenorphine","41059","Umatilla","SAMHSA",c(-118.7821654, 45.6676686),-118.7821654,45.6676686
"3651","Tri County Comm Action Agency",NA,"1126 Hartford Avenue",NA,"Johnston","RI","02919",NA,"buprenorphine","44007","Providence","SAMHSA",c(-71.4860086, 41.8220818),-71.4860086,41.8220818
"3652","Community Care Alliance","Outpatient","55 John A Cummings Way",NA,"Woonsocket","RI","02895",NA,"buprenorphine","44007","Providence","SAMHSA",c(-71.5047902, 42.0083154),-71.5047902,42.0083154
"3653","Tri County Community Action Agency",NA,"33 Maple Avenue",NA,"North Providence","RI","02911","7130","buprenorphine","44007","Providence","SAMHSA",c(-71.479735, 41.8479801),-71.479735,41.8479801
"3654","ORTC LLC","Pendleton Treatment Center","110 SW 20th Street","Suite 3","Pendleton","OR","97801",NA,"buprenorphine","41059","Umatilla","SAMHSA",c(-118.8064405, 45.6687132),-118.8064405,45.6687132
"3655","Providence Center","Roads to Recovery Program/Mens","111 Howard Avenue","Building 56","Cranston","RI","02920",NA,"buprenorphine","44007","Providence","SAMHSA",c(-71.4632556, 41.7446816),-71.4632556,41.7446816
"3656","CODAC","Eleanor Slater Hospital","3 Regan Court",NA,"Cranston","RI","02920",NA,"buprenorphine","44007","Providence","SAMHSA",c(-71.463225, 41.744705),-71.463225,41.744705
"3657","Journey to Hope Health and Healing Inc",NA,"985 Plainfield Street",NA,"Johnston","RI","02919",NA,"buprenorphine","44007","Providence","SAMHSA",c(-71.467153, 41.80467),-71.467153,41.80467
"3658","Aegis Treatment Centers LLC",NA,"2055 Saviers Road","Suites 9-12","Oxnard","CA","93033",NA,"buprenorphine","06111","Ventura","SAMHSA",c(-119.1780164, 34.1792154),-119.1780164,34.1792154
"3659","CODAC Cranston",NA,"1052 Park Avenue",NA,"Cranston","RI","02910",NA,"buprenorphine","44007","Providence","SAMHSA",c(-71.4445366, 41.7820463),-71.4445366,41.7820463
"3660","Aegis Treatment Centers LLC",NA,"5225 Telegraph Road",NA,"Ventura","CA","93003",NA,"buprenorphine","06111","Ventura","SAMHSA",c(-119.2245722, 34.2767717),-119.2245722,34.2767717
