COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
31161,,,
5539,196,166,14
5559,142,141,137
39151,184,143,167
431,12,69,18
2871,,,
2885,,,
3983,78,6,48
3991,151,148,151
2961,,,
2967,,,
4121,63,45,57
4127,,,
46125,,,
21199,32,17,32
26149,117,117,116
39157,127,118,127
26153,1,,1
26155,64,63,64
2781,,,
39117,754,625,754
2733,,,
2743,,,
39143,311,33,311
4617,,,
48365,,,
5313,1,,1
39165,351,344,351
39133,338,318,338
3913,29,19,29
3165,,,
3171,,,
3189,,,
3917,5,4,5
39121,33,33,33
21227,31,259,276
5329,18,85,18
5335,694,596,637
5341,194,175,194
5183,25,28,25
5515,,,
5521,13,88,89
3917,32,253,283
3547,37,24,25
3557,714,55,78
3313,318,299,278
39155,433,379,433
28133,,,
223,,,
2221,,,
1859,35,,35
221,6,6,6
27141,8,72,8
27147,1,87,1
27151,,,
3561,,,
21213,12,6,
13235,,,
13249,,,
2147,,,
2151,,,
2153,,,
1719,279,224,189
47131,,,
1365,1,1,1
13161,1,1,1
21111,3256,3119,3129
19171,13,13,13
1299,227,24,221
1267,,,
22121,,,
153,,,
167,,,
21129,67,57,67
1977,,,
1981,,,
1989,,,
1311,,,
27131,126,15,115
27135,14,13,14
4279,91,828,87
4511,,,
47181,,,
489,,,
53,166,144,13
19167,45,11,45
1327,,,
18173,,,
17179,73,44,73
1357,25,25,25
1757,,,
1385,,,
8115,,,
13225,,,
589,,,
19173,,,
48417,,,
48421,,,
48431,,,
48435,,,
4247,47,47,46
13253,,,
13277,61,46,61
48369,,,
48381,,,
1741,,,
5113,,,
26125,1219,123,1135
21169,8,2,8
48487,,,
48493,,,
4275,376,315,376
2451,7344,6696,7173
2519,,,
3695,66,65,2
1995,,,
1999,,,
1315,81,76,81
4775,,,
1751,,,
555,49,32,49
814,,,
565,,,
571,,,
1911,,,
1915,,,
1919,,,
1219,43,24,43
1249,22,22,22
1957,24,2,24
261,3,,3
42123,45,37,45
1395,28,22,28
2783,212,192,212
19161,,,
1349,,,
42119,13,11,13
13177,,,
