ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
89115,2.58,5.0,9,1.93,2.24,0.0,274.0,1.0,2.58,5.0,38,2.23
89117,7.65,17.0,7,1.17,0.12,0.0,260.0,1.0,0.89,0.0,38,2.5
89118,5.26,15.0,9,1.5,1.02,0.0,285.0,1.0,1.39,6.0,42,2.4
89119,1.66,6.0,9,2.2,1.07,0.0,285.0,1.0,1.01,0.0,41,2.8
89120,2.52,7.0,9,2.27,1.2,0.0,285.0,1.0,1.99,7.0,42,2.3
89121,1.07,0.0,9,2.73,1.07,0.0,285.0,1.0,1.21,0.0,42,3.0
89122,3.46,9.0,9,2.03,0.57,0.0,281.0,1.0,0.55,0.0,40,2.7
89123,1.69,0.0,9,2.03,1.44,0.0,261.0,1.0,0.83,0.0,36,2.23
89124,21.93,45.0,0,0.0,15.31,35.0,0.0,0.0,14.5,35.0,0,0.0
89128,4.6,15.0,8,1.43,0.62,0.0,260.0,1.0,1.12,0.0,37,2.47
89129,5.82,15.0,6,1.03,0.43,0.0,250.0,1.0,1.61,0.0,36,2.73
89130,3.39,10.0,6,1.47,0.94,0.0,249.0,1.0,1.35,0.0,35,2.4
89131,6.68,20.0,3,0.5,2.54,9.0,202.0,0.7,1.89,0.0,23,2.33
89134,6.84,18.0,6,1.03,0.41,0.0,250.0,1.0,0.64,0.0,36,2.53
89135,9.89,21.0,8,0.77,1.68,0.0,262.0,1.0,2.12,0.0,34,2.4
89138,9.7,24.0,7,0.57,1.23,7.0,249.0,0.77,1.79,9.0,35,1.97
89139,5.77,16.0,9,1.23,0.84,0.0,277.0,1.0,2.98,10.0,40,1.9
89141,5.7,12.0,9,1.2,0.3,0.0,261.0,1.0,3.81,11.0,34,1.7
89142,3.71,11.0,9,1.83,3.23,8.0,259.0,0.73,0.69,0.0,38,2.53
89143,8.88,19.0,4,0.6,1.89,8.0,222.0,0.73,2.57,8.0,25,2.03
89144,8.18,19.0,7,1.0,0.56,0.0,253.0,1.0,1.33,5.0,37,2.2
89145,5.78,17.0,8,1.27,0.73,0.0,260.0,1.0,2.53,7.0,37,2.27
89146,4.98,11.0,9,1.77,0.19,0.0,280.0,1.0,0.43,0.0,42,2.87
89147,7.78,17.0,8,1.13,0.28,0.0,273.0,1.0,0.3,0.0,40,2.53
89148,9.69,18.0,7,1.07,0.31,0.0,273.0,1.0,1.19,4.0,36,2.33
89149,7.26,19.0,4,0.6,0.42,0.0,225.0,1.0,1.43,0.0,26,2.2
89156,4.83,11.0,8,1.5,4.18,9.0,236.0,0.7,2.8,7.0,33,2.03
89161,12.79,21.0,4,0.43,3.27,8.0,201.0,0.73,4.31,8.0,21,1.67
89166,15.93,29.0,1,0.03,8.39,19.0,76.0,0.37,7.68,19.0,11,0.87
89169,0.36,0.0,9,2.63,0.21,0.0,285.0,1.0,0.47,0.0,41,2.6
89178,9.23,17.0,7,0.87,2.42,0.0,264.0,1.0,1.0,0.0,34,2.23
89179,8.26,19.0,5,0.63,2.78,9.0,239.0,0.7,2.36,9.0,24,1.57
89183,2.84,7.0,9,1.67,1.3,7.0,240.0,0.77,2.94,7.0,35,2.17
89191,5.61,12.0,8,1.33,2.36,8.0,218.0,0.73,4.21,12.0,31,1.7
89301,,,0,0.0,2.42,0.0,1.0,1.0,,,0,0.0
89310,,,0,0.0,,204.0,0.0,0.0,,204.0,0,0.0
89311,,,0,0.0,41.81,102.0,0.0,0.0,,,0,0.0
89314,,,0,0.0,,133.0,0.0,0.0,,,0,0.0
89316,,,0,0.0,,120.0,0.0,0.0,,120.0,0,0.0
89317,,,0,0.0,29.11,68.0,0.0,0.0,,,0,0.0
89318,,,0,0.0,10.94,21.0,1.0,0.3,,,0,0.0
89319,,,0,0.0,7.1,23.0,1.0,0.23,,,0,0.0
89402,13.38,53.0,0,0.0,10.18,24.0,3.0,0.2,1.87,5.0,2,1.03
89403,13.31,25.0,1,0.17,2.07,0.0,14.0,1.0,12.99,25.0,3,0.43
89404,,,0,0.0,,,,,,,0,0.0
89405,,111.0,0,0.0,49.3,99.0,0.0,0.0,,110.0,0,0.0
89406,,72.0,0,0.0,0.4,0.0,2.0,1.0,0.12,0.0,2,2.0
89408,29.54,43.0,0,0.0,24.35,34.0,0.0,0.0,24.05,34.0,0,0.0
89409,,,0,0.0,42.53,86.0,0.0,0.0,41.95,86.0,0,0.0
89410,18.41,37.0,0,0.0,1.29,0.0,3.0,1.0,14.11,32.0,0,0.0
89411,11.03,27.0,1,0.1,5.03,20.0,16.0,0.33,6.37,22.0,3,0.47
89412,,189.0,0,0.0,,177.0,0.0,0.0,,178.0,0,0.0
89413,12.18,30.0,1,0.0,10.36,25.0,9.0,0.17,5.07,10.0,5,1.0
89414,,,0,0.0,18.81,35.0,0.0,0.0,,126.0,0,0.0
89415,,,0,0.0,1.09,0.0,1.0,1.0,0.5,0.0,1,1.0
89418,,,0,0.0,30.46,47.0,0.0,0.0,,,0,0.0
89419,,,0,0.0,2.34,0.0,2.0,1.0,,71.0,0,0.0
89420,,,0,0.0,24.32,34.0,0.0,0.0,24.59,34.0,0,0.0
