"ZCTA","minDisHosp","timeDrive","countDrive"
5075,15.41,29.9,1
5081,3.38,20.68,1
5084,10.58,15.58,3
5089,3.03,0,3
5101,11.3,20.31,1
5141,12.13,19.72,1
5142,11.83,25.28,2
5143,9.87,18.5,1
5146,12.57,22.55,2
5149,16.92,28.06,1
5150,4.22,8.59,2
5151,9.42,21.06,2
5153,14.72,27.29,1
5154,12.31,22.6,2
5156,1.84,0,2
5158,14.44,24.74,3
5201,4.63,0,1
5252,20.84,27.96,1
5257,8.64,11.2,1
5260,7.46,22.86,1
5261,8.7,16.1,1
5262,11.49,12.9,1
5301,6.58,0,3
5343,10.31,18.27,1
